제목,방송 기간,방송 횟수,장르,채널,제작사,극본,출연자,방송 시작
공부의신,  2010년 1월 4일 ~ 2010년 2월 23일 ,  16부작 , 학교 드라마, KBS 2TV, 드라마하우스앤드제이콘텐트허브,  윤경아 ," 김수로 (배우), 배두나, 오윤아, 지연 (가수), 유승호, 고아성, 이현우 (1993년), 이찬호 외",2010-01-04 00:00:00
슈퍼대디열, 2015년 3월 13일 ~ 2015년 5월 2일, 16부작, 드라마, tvN, , 김경세 ," 이동건, 이유리, 이레 (배우) 외",2015-03-13 00:00:00
식객,  2008년 6월 17일 ~ 2008년 9월 9일 ,  24부작 , 요리,  SBS , 이진석 (연출가)," 최완규 (작가), 박후정"," 김래원, 남상미, 권오중, 원기준,김소연 (1980년) 외",2008-06-17 00:00:00
"미안하다,사랑한다",  2004년 11월 8일 ~ 2004년 12월 28일 , 16부작 ," 휴먼 멜로 드라마 발라드 (대중 음악), 드라마 음악", KBS 제2TV(지상파),  에이트픽스 ,  이경희 ,"  소지섭, 임수정, 정경호(1983), 서지영, 이혜영(1962) 外 ",2004-11-08 00:00:00
수상한파트너,  2017년 5월 10일 ~ 2017년 7월 13일 ,  40부작 ,"  법률, 로맨틱 코미디 ",  SBS , SBS미디어홀딩스,  권기영 ," 지창욱, 남지현 (배우), 최태준, 권나라 (배우) 외",2017-05-10 00:00:00
쾌도홍길동,  2008년 1월 2일 ~ 2008년 3월 26일 ,  24부작 ," 대하드라마, 로맨스, 코미디",  한국방송공사 ,  올리브나인 ," 홍자매 (홍정은, 홍미란), 홍자매 (홍정은, 홍미란) "," 강지환, 성유리, 장근석, 박상욱 (배우)",2008-01-02 00:00:00
도망자Plan.B,  2010년 9월 29일 ~ 2010년 12월 8일 ,  20부작 + 스페셜 1부작 ,,  KBS 2TV ,  도망자에스원문전사 ,  천성일 ,"  비(연예인), 이나영, 이정진, 다니엘 헤니, 윤진서 外 ",2010-09-29 00:00:00
두번째스무살, 2015년 8월 28일 ~ 2015년 10월 17일, 16부작, 텔레비전 드라마, tvN, , 소현경," 최지우, 이상윤 (배우), 최원영 (배우), 하승리,  김희찬, 강태오 외",2015-08-28 00:00:00
역전의여왕,  2010년 10월 18일 ~ 2011년 2월 1일 ,  31부작 ," 로맨스, 오피스",  문화방송 ," 유니온 엔터테인먼트, 양광덕, 김동구",  박지은(각본가) ," 김남주 (배우), 정준호, 채정안, 박시후, 하유미 (배우) 외",2010-10-18 00:00:00
이브의사랑,  2015년 5월 18일 ~ 2015년 10월 30일 ,  120부작 ,  막장 드라마 ,  문화방송 , 이민수 MBC C&I,  고은경 ," 윤세아, 이재황 (배우), 김민경 (1981년 8월), 이동하 (배우), 윤종화 (배우) 외",2015-05-18 00:00:00
마녀의법정,  2017년 10월 9일 ~ 2017년 11월 28일 ,  16부작 ," 범죄, 미스터리, 추리, 법률",  KBS 2TV ," 아이윌미디어 김종식, 송재준",  정도윤 ,"  정려원, 윤현민, 전광렬, 김여진 外 ",2017-10-09 00:00:00
폭풍의여자,  2014년 11월 3일 ~ 2015년 5월 15일 ,  140부작 , 드라마 · 연속극,  문화방송 , 백호민 MBC C&I,  은주영 ," 박선영 (1976년 배우), 고은미, 현우성, 정찬 (배우), 선우재덕, 박준혁 (배우) 외",2014-11-03 00:00:00
사생결단로맨스,  2018년 7월 23일 ~ 2018년 9월 17일 ,  32부작 ,  로맨틱 코미디 ,  문화방송 ," 임성균, 정태상 세이온미디어, 중휘미디어","  김남희, 허승민 ","  지현우, 이시영(배우), 김진엽, 윤주희 外 ",2018-07-23 00:00:00
러블리호러블리,  2018년 8월 13일 ~ 2018년 10월 2일 ,  32부작 ,"  	호러, 로맨틱 코미디 ",  KBS 2TV , 문보미 러블리 호러블리 문화산업전문회사HB엔터테인먼트,  박민주 ," 박시후, 송지효, 이기광, 은정 (가수), 최여진 외",2018-08-13 00:00:00
혼, 2009년 8월 5일 ~ 2009년 9월 3일,  10부작 ,"  드라마, 공포 ", MBC TV,  문화방송 ,"  고은님, 인은아 "," 이서진, 임주은, 이진 (배우), 건일, 지연 (가수) 외",2009-08-05 00:00:00
땐뽀걸즈,  2018년 12월 3일 ~ 2018년 12월 25일 ,  16부작 ," 청춘, 성장, 휴먼, 드라마",  KBS 2TV ," 이정희, 김성곤 MI, 엔케이물산",  권혜지 ," 김갑수 (배우), 박세완, 장동윤, 이주영 (1987년) 외",2018-12-03 00:00:00
왕과나,  2007년 8월 27일 ~ 2008년 4월 1일 ,  63부작 , 대하사극,  SBS ,"  올리브나인, SBS 프로덕션 ",  유동윤 ,"  오만석, 구혜선,  고주원, 전광렬, 전인화 外 ",2007-08-27 00:00:00
애간장,  2018년 1월 8일 ~2018년 2월 6일 (완결) ,  10부작 ,  로맨스 ,  OCN ,  SBS 플러스 ,  박가연 ,"  이정신, 서지훈(1997), 이열음 외 ",2018-01-08 00:00:00
건빵선생과별사탕,   2005년 4월 13일 ~ 2005년 6월 2일 ,  16부작 ,,  SBS ,  iHQ ,  박계옥 ,"  공유(배우)|공유]], 공효진, 김다현, [[최여진 外 ",2005-04-13 00:00:00
밤을걷는선비,  2015년 7월 8일 ~ 2015년 9월 10일 ,  20부작 ," 시대극, 판타지, 로맨스, 드라마 드라마음악, 발라드 (대중 음악) 드라마음악, 발라드 (대중 음악) 드라마음악, 발라드 (대중 음악) 드라마음악, 발라드 (대중 음악) 드라마음악, 발라드 (대중 음악) 드라마음악, 발라드 (대중 음악)", MBC TV," 황창우, 김진이, 콘텐츠K","  장현주, 류용재 ","  이준기, 이유비, 최강창민, 이수혁(배우), 김소은, 장희진 外 ",2015-07-08 00:00:00
"60일,지정생존자",  2019년 7월 1일 ~ 2019년 8월 20일 ,  16부작 ," 범죄, 서스펜스, 법률, 정치", tvN, 김동구 DK E&M,  김태희 ," 지진희, 허준호, 강한나, 이준혁 (1984년), 배종옥 외",2019-07-01 00:00:00
오늘의탐정,  2018년 9월 5일 ~ 2018년 10월 31일 ,  32부작  ," 범죄, 서스펜스, 스릴러",  KBS 2TV ," 정아름, 김성곤 비욘드제이, 엔케이물산",  한지완 ," 최다니엘, 박은빈, 이지아, 김원해, 이재균 (배우), 이주영 (1992년), 신재하, 채지안  외",2018-09-05 00:00:00
애정만만세,  2011년 7월 16일 ~ 2012년 1월 29일 ,  57부작 ,  막장 드라마 ,  문화방송 ," 김종학 프로덕션 박창식, 이정열", 박현주 (작가),"  이보영, 이태성, 배종옥, 천호진, 진이한, 변정수 外 ",2011-07-16 00:00:00
검법남녀,  2018년 5월 14일 ~ 2018년 7월 17일 ,  32부작 ," 범죄, 의학, 서스펜스",  문화방송 , 문보미 HB엔터테인먼트,"  민지은, 원영실[*A ] ","  정재영, 정유미(1984), 이이경, 박은석, 스테파니 리 등 ",2018-05-14 00:00:00
은실이,  1998년 11월 9일 ~ 1999년 7월 6일 ,  70부작 ,"  시대극, 홈드라마 ",  SBS ,  SBS 프로덕션 ,  이금림  ," 전혜진 (1988년), 강혜정 외",1998-11-09 00:00:00
나는전설이다,  2010년 8월 2일 ~ 2010년 9월 21일 ,  16부작 , 밴드, SBS TV,  에이스토리 ,"  임현경, 마진원 "," 김정은 (배우), 김승수, 이준혁 (1984년), 홍지민, 장신영, 쥬니, 고은미, 장영남 외",2010-08-02 00:00:00
스위치-세상을바꿔라,  2018년 3월 28일 ~ 2018년 5월 17일 ,  32부작 ," 범죄, 서스펜스", SBS TV," 백창주, 박진형 씨제스엔터테인먼트"," 백운철 (각본가), 김류현","  장근석, 한예리, 정웅인, 최재원(배우), 신도현 등 ",2018-03-28 00:00:00
국민여러분!,  2019년 4월 1일 ~ 2019년 5월 28일 ,  36부작 ,"  범죄, 코미디 ",  KBS 2TV ,"  몬스터 유니온, 원콘텐츠 ",  한정훈 ," 시원 (가수), 이유영, 김민정 (1982년), 태인호, 김의성 외",2019-04-01 00:00:00
훈장오순남,  2017년 4월 24일 ~ 2017년 10월 20일 ,  129부작 , 드라마,  문화방송 , 이민수 MBC C&I,  최연걸 ,"  박시은(1980), 구본승, 장승조, 한수연(배우) 등 ",2017-04-24 00:00:00
저스티스,  2019년 7월 17일 ~ 2019년 9월 5일  ,  32부작 ," 범죄, 스릴러, 서스펜스",  KBS 2TV ,"  프로덕션 H, FN 엔터테인먼트 ", 정찬미,"  최진혁, 손현주, 나나(애프터스쿨), 박성훈(배우) 外 ",2019-07-17 00:00:00
대물,  2010년 10월 6일 ~ 2010년 12월 23일 ,  	24부작 ,,  SBS ,  이김프로덕션 ,"  황은경(1~4회), 유동윤(5~최종회)  ","  고현정, 권상우, 차인표, 이수경 外 ",2010-10-06 00:00:00
돌아와요아저씨,   2016년 2월 24일 ~ 2016년 4월 14일 ,  16부작 ,"  드라마, 판타지 ",  SBS ,"  신영이엔씨, 후너스엔터테인먼트 ","  노혜영, 현주연 ","  비(연예인), 오연서, 김인권, 김수로(배우) 外 ",2016-02-24 00:00:00
가면,  2015년 5월 27일 ~ 2015년 7월 30일 ,  20부작 ,"  멜로, 서스펜스 ",  SBS ,"  골든썸픽쳐스, 심엔터테인먼트 ",  최호철 ,"  수애, 주지훈, 연정훈, 유인영 外 ",2015-05-27 00:00:00
그녀의신화,  2013년 8월 5일 ~2013년 10월 8일 ,  20부작 , 텔레비전 드라마   ,  JTBC , 로고스필름 이장수 (방송인),  김정아 ,"  최정원(1981년 4월), 김정훈(UN), 손은서, 박윤재 外 ",2013-08-05 00:00:00
특별근로감독관조장풍,  2019년 4월 8일 ~ 2019년 5월 28일 ,  32부작 ," SF (장르), 판타지, 서스펜스 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악",   문화방송 ," 김승조, 최진호 실크우드, 헬로콘텐츠",  김반디 ," 김동욱 (배우), 김경남 (1989년), 류덕환, 박세영 (배우) 외",2019-04-08 00:00:00
내조의여왕,  2009년 3월 16일 ~ 2009년 5월 19일 ,  20부작 ," 텔레비전 드라마, 로맨스, 코미디",  문화방송 ," DRM 미디어뉴스 인용깨진 링크, 김봉남, 김운호", 박지은 (작가) ,"  김남주, 오지호(배우), 이혜영(1971), 최철호, 윤상현(배우), 선우선 外 ",2009-03-16 00:00:00
골든크로스,  2014년 4월 9일 ~ 2014년 6월 19일 ,  20부작 ,"  드라마, 미스터리, 서스펜스, 범죄 ",  한국방송공사 , 김희열 팬엔터테인먼트,  유현미 ,"  김강우, 이시영(배우), 엄기준, 한은정, 정보석 外 ",2014-04-09 00:00:00
최고의치킨,  2019년 1월 2일 ~ 2019년 2월 7일 ,  12부작  ,,  MBN | Dramax ,"  iHQ, 메이퀸픽쳐스 ","  박찬영, 조아영 ","  박선호(배우), 김소혜(1999), 주우재 ",2019-01-02 00:00:00
서동요,  2005년 9월 5일 ~ 2006년 3월 27일 ,  56부작 , 퓨전사극, SBS TV,  김종학프로덕션 , 김영현 (작가) ," 조현재, 이보영 (배우), 류진 (배우) 외",2005-09-05 00:00:00
데릴남편오작두,  2018년 3월 3일 ~ 2018년 5월 19일 ,  24부작 , 로맨스,  문화방송 , 김희열 팬 엔터테인먼트,  유윤경 ," 유이 (1988년), 김강우, 정상훈, 한선화 외",2018-03-03 00:00:00
방법,  2020년 2월 10일 ~ 2020년 3월 17일 ,  12부작 + 스페셜 1부작 , 미스터리 스릴러 드라마음악 드라마음악,  tvN ,  레진코믹스 ,  연상호 ,"  엄지원, 성동일, 조민수(배우), 정지소 外 ",2020-02-10 00:00:00
그녀는거짓말을너무사랑해, 2017년 3월 20일 ~ 2017년 5월 9일 , 16부작 ," 음악, 청춘, 로맨스", tvN," 문석환, 오광희 본팩토리", 김경민," 이현우 (1993년), 조이 (가수), 이정진, 이서원, 홍서영 외",2017-03-20 00:00:00
마이걸, 2005년 12월 14일 ~ 2006년 2월 2일, 16부작," 로맨스, 코미디 드라마음악", SBS," DSP미디어, 칼리스타"," 홍자매 (홍정은, 홍미란), 홍자매 (홍정은, 홍미란)"," 이다해
이동욱 (배우)
이준기
박시연 외",2005-12-14 00:00:00
가시나무새,  2011년 3월 2일 ~2011년 5월 5일 ,  20부작 ," 텔레비전 드라마, 통속극 드라마 음악 드라마 음악 드라마 음악 드라마 음악",  KBS 2TV ," 지앤지프로덕션, 오성민",  이선희 ,"  한혜진(배우), 주상욱, 김민정(1982), 서도영, 차화연 外 ",2011-03-02 00:00:00
프리스트,  2018년 11월 24일 ~ 2019년 1월 20일 ,  16부작 ,"  메디컬, 오컬트 ",  OCN_LOGO.png , 전규아 크레이브웍스," 문만세, 이재하, 김수경","  연우진, 정유미(1984), 박용우, 장희령 등 ",2018-11-24 00:00:00
너희들은포위됐다,  2014년 5월 7일 ~ 2014년 7월 17일 , 20부작 + 스페셜 1부작," 로맨스, 청춘, 범죄, 수사, 긴급 서비스",  SBS , 문보미 HB엔터테인먼트, 이정선 (작가),"  이승기, 차승원, 고아라, 안재현 外 ",2014-05-07 00:00:00
99억의여자,  2019년 12월 4일 ~ 2020년 1월 23일 ,  32부작 ,,  KBS 2TV ,  빅토리콘텐츠 ,  한지훈 ,"  조여정, 김강우, 정웅인, 오나라(배우), 이지훈(1988) 外 ",2019-12-04 00:00:00
아버님제가모실게요,  2016년 11월 12일 ~ 2017년 5월 7일  ,  50부작 ,  막장 드라마 ,  문화방송 ," 안제현, 신상윤, 오성민 삼화네트웍스, 지앤지프로덕션",  조정선 ," 김재원 (배우), 박은빈, 이수경 (1982년), 이태환 외",2016-11-12 00:00:00
용팔이,  2015년 8월 5일 ~ 2015년 10월 1일 , 18부작뉴스 인용," 메디컬 드라마, 액션, 서스펜스",  SBS , 문보미 HB엔터테인먼트,  장혁린 ," 주원, 김태희, 조현재 (배우), 채정안 외",2015-08-05 00:00:00
히트,  2007년 3월 19일 ~ 2007년 5월 22일 ,  20부작 ,,  문화방송 ,  김종학 프로덕션 ,"  김영현, 박상연(각본가) ","  고현정, 하정우, 윤지민, 김정민(1968) 外 ",2007-03-19 00:00:00
주몽," 2006년 5월 15일 ~ 2007년 3월 6일 (본방)
2007년 6월 29일 ~ 2008년 9월 5일 (재방)",  81부작 ," 판타지, 대하드라마",  문화방송 ,"  초록뱀 미디어, 올리브나인 "," 최완규 (작가), 정형수"," 송일국, 한혜진 (배우), 김승수 (배우), 전광렬, 오연수 외",2006-05-15 00:00:00
쇼트,  2018년 2월 12일 ~ 2018년 2월 20일 ,  4부작 ,"  스포츠, 로맨스 ", OCN (방송)," 최혁진, 오영섭 지앤지프로덕션, (주)코퍼스코리아",  김정애 ,"  강태오, 여회현, 김도연(위키미키) ",2018-02-12 00:00:00
명성황후,  2001년 5월 9일 ~ 2002년 7월 18일 ,  124부작 , 특별기획 드라마,  KBS 2TV ," GM기획,삼화네트웍스",  정하연 , 이미연 (배우)→최명길 (배우)이진우 (배우)문근영이인 (배우)정선경한범희백승우이유리이병욱김성령박진성이참김효원 (배우)김성환 (1950년)이덕희 (배우)최상훈박영지정성모김병기 (배우)윤주상이영후선우은숙임혁송재호김용림박근형유동근,2001-05-09 00:00:00
시티헌터,  2011년 5월 25일 ~ 2011년 7월 28일 ,  20부작 ," 액션, 로맨스, 복수극        ",  서울방송 , SSD (김의준),"  황은경, 최수진, 손현수, 이수지 "," 이민호 (1987년), 박민영, 이준혁 (1984년), 황선희 외",2011-05-25 00:00:00
위대한쇼,  2019년 8월 26일 ~ 2019년 10월 15일 ,  16부작 , 드라마,  tvN ,"  화이브라더스코리아, 롯데컬처웍스 ",  설준석 ,"  송승헌, 이선빈, 임주환, 노정의 外 ",2019-08-26 00:00:00
아이엠샘,  2007년 8월 6일 ~ 2007년 10월 2일 ,  16부작 ,  드라마 ,  KBS ,,  이진매 ,"  양동근, 박민영(배우), 손태영 外 ",2007-08-06 00:00:00
매리는외박중,  2010년 11월 8일 ~ 2010년 12월 28일 ,  16부작 , 텔레비전 드라마, KBS 제2TV," ACC코리아, KBS 미디어 오병준, 금동수",  인은아 (1화~10화) → 고봉황 (11화~16화) ," 문근영, 장근석, 김재욱 (배우), 김효진 (1984년) 외",2010-11-08 00:00:00
군주-가면의주인,  2017년 5월 10일 ~ 2017년 7월 13일 ,  40부작 ," 시대극, 추리, 로맨스, 드라마",  문화방송 ," 정찬희, 배정훈 피플스토리컴퍼니, 화이브라더스 (대한민국의 기업), 드라마피버"," 박혜진, 정해리"," 유승호, 김소현, 엘 (가수), 윤소희, 허준호, 박철민 (배우) 외",2017-05-10 00:00:00
내아이디는강남미인,  2018년 7월 27일 ~ 2018년 9월 15일 ,  16부작 , 드라마,  JTBC , 황인뢰 ㈜아트앤컬처크리에이티브리더스그룹에이트의 계열사.,  최수연 ,"  임수향, 차은우, 조우리, 곽동연 外 ",2018-07-27 00:00:00
안녕하세요하느님,  2006년 1월 9일 ~  2006년 2월 28일 ,  16부작 ,"  멜로, 드라마 ",  KBS 2TV ,"  김종학프로덕션, 포도나무프로덕션 ",  강은경 ,"  유건, 김옥빈, 이종혁(배우) 外 ",2006-01-09 00:00:00
스포트라이트,  2008년 5월 14일 ~ 2008년 7월 3일 ,  16부작 , 텔레비전 드라마,  문화방송 ,"  스토리허브, 해피테일, 홍순관, 손진영 "," 이기원 (작가) (1회 ~ 8회)
황주하, 최윤정 (1971년) (9회 ~ 16회) "," 손예진, 지진희, 조윤희 (배우), 진구 외",2008-05-14 00:00:00
태양인이제마,  2002년 7월 24일 ~ 2002년 10월 31일 ,  30부작 ,"  한국 사극, 의학 드라마 ",  KBS 2TV ,  팬 엔터테인먼트 ,"  김항명
윤선주 (스토리텔러)","  최수종, 유호정, 김유미(1979) 外 ",2002-07-24 00:00:00
너를기억해, 2015년 6월 22일 ~ 2015년 8월 11일,  16부작 ," 로맨틱 코미디, 스릴러",  KBS 2TV ," 최진희, 박지영 CJ ENM 배종병, 장정도"," 권기영드라마 사랑에 미치다, 보스를 지켜라, 내 연애의 모든 것 집필","  서인국, 장나라, 박보검, 도경수, 전광렬  外 ",2015-06-22 00:00:00
남자가사랑할때,   2004년 9월 30일 ~ 2004년 11월 18일 ,  16부작 , 드라마, SBS TV,  김종학프로덕션 ,  김윤정 ," 고수 (배우), 박정아 (연예인), 배수빈, 박예진 외",2004-09-30 00:00:00
사랑해서남주나,  2013년 9월 28일 ~ 2014년 3월 30일 ,  50부작 , 텔레비전 드라마, MBC TV(지상파)," 아이윌미디어, 김종식, 송재준",  최현경 ,"  홍수현, 이상엽, 서지석, 신다은 外 ",2013-09-28 00:00:00
시그널, 2016년 1월 22일 ~ 2016년 3월 12일, 16부작," 범죄, 미스터리, 서스펜스 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악 드라마음악", tvN, 이상백 에이스토리, 김은희  김은희(시그널) ," 이제훈, 김혜수, 조진웅 외",2016-01-22 00:00:00
타인은지옥이다,  2019년 8월 31일 ~ 2019년  10월 6일 ,  10부작 ,"  공포, 스릴러 ", OCN (방송)," 김우상, 권미경 영화사 우상, 스튜디오N",  정이도 ,"  임시완, 이동욱, 이정은(1970) 外 ",2019-08-31 00:00:00
구해줘2,  2019년 5월 8일 ~ 2019년 6월 27일 ,  16부작 ,"  스릴러, 범죄 ", OCN (텔레비전 채널), 이재문 히든시퀀스,  서주연 ,"  엄태구, 천호진, 이솜, 김영민(배우) 등 ",2019-05-08 00:00:00
투깝스,  2017년 11월 27일 ~ 2018년 1월 16일 ,  32부작 ,"  판타지, 수사물, 로맨스 ",  문화방송 문화방송 , 정찬희 피플스토리컴퍼니,  변상순 ,"  조정석, 혜리, 김선호, 임세미, 정해균, 이대연, 김영웅, 오의식, 이호원, 김민종, 이시언, 강성진, 윤봉길, 이재원(배우), 박훈, 최일화, 문지인 등 ",2017-11-27 00:00:00
